product_name,product_link,link,option_1,option_2,option_3,shipping_option
PULSEIRA TORRE EIFFEL,,"http://pt.aliexpress.com/item/2015-wholesale-low-price-and-good-quality-elastic-fabric-Eiffel-Tower-pendant-Bangles-female-fashion-bracelets/32301927229.html?spm=2114.30010508.3.241.cIEqu3&ws_ab_test=searchweb201556_9,searchweb201602_5_10036_10035_301_10034_10033_507_10032_10020_10017_10005_10006_10021_10022_401_10018_10019,searchweb201603_9&btsid=834df418-ae39-4ee4-8009-2f27753ef24a",,,,
CONJUNTO 6 ANEIS DIVERSOS,,http://pt.aliexpress.com/item/New-fashion-jewelry-heart-anchor-infinity-love-finger-ring-set-gift-for-women-ladies-R1161/1981154038.html?adminSeq=110543359&shopNumber=805930,,,,
CONJUNTO 6 ANEIS,,http://pt.aliexpress.com/item/punk-gold-plated-stackable-Knuckle-midi-rings-for-women-Finger-Ring-Set-bague-anillos-mujer-anel/32330944400.html?adminSeq=201988851&shopNumber=334595,,,,
Conjunto de Anéis 6 peças,,http://pt.aliexpress.com/item/2015-6PCS-Vintage-Turkish-Beach-Punk-Moon-Arrow-Ring-Set-Ethnic-Carved-Antique-Silver-Moon-Midi/32449937272.html?detailNewVersion=2,,,,
PULSEIRA PUNK,,http://pt.aliexpress.com/item/Free-Shipping-Arrival-Of-2015-New-Bracelet-Fashion-And-Personality-Style-Bracelet-Men-Punk-Charm-Bracelet/32247259400.html,,,,
PULSEIRA MARINHEIRO CORES,,"http://pt.aliexpress.com/item/2015-Miansai-Gold-Silver-Anchor-Bracelet-Men-Wrap-Leather-Bracelets-Bangles-Male-bracelet-homme-pulseras-hombre/32579978316.html?spm=2114.02010208.3.308.1mPcwn&ws_ab_test=searchweb201556_0,searchweb201602_1_10037_10017_10021_507_10033_10022_10032_10009_10020_10008_10018_10019,searchweb201603_1&btsid=d4acc891-4b86-4bf6-8e90-eb1998390aaa",,,,
BRINCOS PRINCESA,,"http://pt.aliexpress.com/item/ne409-Free-Shipping-Mellow-Pink-Crystal-Crown-Peach-Heart-Love-Stud-Earrings-Pearl-earrings/32263524914.html?spm=2114.02010208.3.20.BtgmyI&ws_ab_test=searchweb201556_0,searchweb201602_1_10037_10017_10021_507_10033_10022_10032_10009_10020_10008_10018_10019,searchweb201603_1&btsid=a322e7e8-7d74-4ae2-b730-dee04b904538",,,,
PULSEIRA JESUS,,http://pt.aliexpress.com/item/Hot-Sale-2015-Womens-Fashion-Bangles-Vintage-Wholesale-Bracelet-Multilayer-Bracelets-JESUS-LOVE-Promotional-Bangle-CX/32373551876.html?adminSeq=202516347&shopNumber=221357,,,,
COLAR RELIQUIAS HARRY POTTER,,http://pt.aliexpress.com/store/product/New-2014-Fashion-Harry-Potty-Pendant-Necklace-Vintage-Antique-Gold-Plated-Long-Chain-Triangle-Pendants-Necklace/334595_1963581906.html,,,,
COLAR FEMININO YIN YANG,,http://pt.aliexpress.com/store/product/2P-Yin-Yang-Pendant-Necklace-Black-White-Couple-Sister-Lovers-Friend-Friendship-Jewelry-for-Men-Women/1050087_32455763778.html,,,,
CONJUNTO DE ANEIS 5 PEÇAS,,http://pt.aliexpress.com/store/product/5-PCS-Vintage-Punk-Metal-Leaf-Flower-Above-Knuckle-Ring-set-for-Women-Hollow-Out-Leave/1050087_32353425165.html,,,,
COLAR INFINITO,,http://pt.aliexpress.com/store/product/Promotions-Fashion-Luxury-Charm-Plating-Gold-Sweater-chain-necklace-jewelry-Infinity-Pendant-Necklace-jewelry-women-2015/605091_32262852131.html?storeId=605091,,,,
BRINCOS + COLAR APANHADOR DE SONHOS,,http://pt.aliexpress.com/store/product/Fashion-accessories-jewelry-set-New-silver-plated-dreamcatcher-necklace-earring-gift-for-women-girl-wholesale-S801/805930_32587396539.html,,,,
COLAR BEST FRIENDS 2 PEÇAS,,http://pt.aliexpress.com/store/product/New-collier-choker-necklace-heart-pendant-pieces-broken-two-best-friend-friendship-forever-women-necklace-jewelry/334595_32425161815.html,,,,
RELOGIO ONCINHA,,http://pt.aliexpress.com/store/product/2015-Fashion-Montre-New-Best-Women-Watch-Cute-Glasses-Cat-Pattern-Women-Analog-Quartz-Wrist-Watch/1091026_32472048841.html,,,,
RELOGIO ELEFANTE,,http://pt.aliexpress.com/store/product/2014-Newest-Women-Mens-lovers-Hours-Clock-Point-With-Continental-Map-Wrist-Watches-girl-boy-T/1091026_2006615190.html,,,,
COLAR GATINHO,,http://pt.aliexpress.com/store/product/New-Vintage-Lovely-Cat-Necklace-Women-Leaf-Necklaces-Pendants-for-Women-colar-Chain-Fine-Jewelry-Collar/605091_32562345651.html,,,,
BRINCOS FILTRO DOS SONHOS,,http://pt.aliexpress.com/store/product/New-fashion-accessories-jewelry-18K-gold-plated-Dream-catcher-midi-finger-ring-for-women-girl-nice/805930_32393265278.html,,,,
RELOGIO PULSEIRA CORUJINHA,,http://pt.aliexpress.com/store/product/Women-Girls-Retro-Braided-Leather-Bracelet-Owl-Decoration-Quartz-Wrist-Watch/731431_32217872993.html,,,,
PULSEIRA FLECHA LOVE,,http://pt.aliexpress.com/store/product/New-fashion-accessories-jewelry-bead-chain-link-key-love-arrow-charm-bracelet-nice-gift-for-women/805930_32531232532.html,,,,
RELOGIO FEMININO PARIS,http://bijuchique.com/shop/relogio-feminino-paris/ ‎,"http://pt.aliexpress.com/item/Women-New-Faux-Leather-Retro-Tower-Stripe-Pattern-Analog-Quartz-Wrist-Watch-Watches-Freeshipping-Wholesale/32390487735.html?spm=2114.02020208.3.39.BSJ74o&ws_ab_test=searchweb201556_9,searchweb201602_4_10036_10035_10034_10033_507_10032_10020_10001_10002_10017_10010_10005_10006_10011_10003_10021_10004_10022_10009_401_10008_10018_10019,searchweb201603_9&btsid=07daf013-edb2-4832-9550-7a2da58bfdb4",,,,
RELOGIO CLAVE DE SOL,,http://pt.aliexpress.com/store/product/2014-Newest-2-color-suitable-Watches-Note-Music-Notation-Leather-Quartz-Wristwatch-Fashion-girl-Watch-T/1091026_1986671123.html,,,,
RELOGIO ASAS,,"http://pt.aliexpress.com/item/Women-s-Vintage-Angel-Wings-Pendant-Rhinestone-Leather-Bracelet-Quartz-Wrist-Watch-12H4/1990568081.html?spm=2114.02010208.3.20.k8ZaZe&ws_ab_test=searchweb201556_0,searchweb201602_4_10017_10021_507_10022_10020_10009_10008_10018_10019_101,searchweb201603_9&btsid=86448fe9-2df4-49ea-bcd9-8e9e4b73572b",,,,
CONJUNTO DE ANEIS FOLHAS 4 PEÇAS,,"http://pt.aliexpress.com/item/D22-Accessories-excellent-blade-piece-set-metal-joints-of-the-ring-women-s-jewelry-finger-ring/1827269674.html?spm=2114.30010508.3.200.oobpDO&ws_ab_test=searchweb201556_9,searchweb201644_3_505_506_503_504_301_502_10001_10002_10017_10010_10005_10011_10006_10003_10004_10009_10008,searchweb201560_5,searchweb1451318400_-1,searchweb1451318411_6452&btsid=2b41f145-b88d-4ac3-93bc-f6fd8fc5686d",,,,
COLAR BAILARINA,,http://pt.aliexpress.com/store/product/18K-Gold-Plated-Sweater-Chain-Shiny-Crystal-Ballet-Girl-Pendant-Necklace-Statement-Long-Necklaces-Jewelry-For/605091_32259487790.html,,,,
COLAR BAILARINA ANJO,,http://pt.aliexpress.com/store/product/Free-shipping-new-hot-Fashion-High-quality-Gold-plated-chain-rhinestone-angel-wings-pendant-Necklace-Statement/605091_2038246411.html,,,,
COLAR LAÇOS E PEROLAS,,http://pt.aliexpress.com/store/product/Free-shipping-hot-New-Design-Fashion-High-quality-Double-pearl-bow-pendant-necklace-Statement-jewelry-for/605091_2038238332.html,,,,
CONJUNTO DE ANEIS 3 PEÇAS,,"http://pt.aliexpress.com/item/3Pcs-Set-Fashion-Top-Of-Finger-Over-The-Midi-Tip-Finger-Above-The-Knuckle-Open-Ring/1946950432.html?spm=2114.30010508.3.74.oobpDO&ws_ab_test=searchweb201556_9,searchweb201644_3_505_506_503_504_301_502_10001_10002_10017_10010_10005_10011_10006_10003_10004_10009_10008,searchweb201560_5,searchweb1451318400_-1,searchweb1451318411_6452&btsid=2b41f145-b88d-4ac3-93bc-f6fd8fc5686d",,,,
COLAR CRISTAIS,,http://pt.aliexpress.com/store/product/New-Fashion-jewelry-natural-quartz-stone-turquoise-agate-amethyst-pendant-necklace-Valentine-s-Day-Gifts-for/805930_32274651883.html,,,,
COLAR V,,http://pt.aliexpress.com/store/product/Free-shipping-new-Fashion-High-quality-Exaggerated-punk-personality-Geometric-metal-triangle-pendant-necklace-jewelry-2014/605091_2038230224.html?storeId=605091,,,,
COLAR FEMININO MULTICAMADAS,,http://pt.aliexpress.com/store/product/Hot-Fashion-Gold-Plated-Fatima-Hand-multilayer-necklaces-Metal-Round-crystal-Angel-wings-Long-arrow-Pendant/1628471_32366017305.html,,,,
PULSEIRA CHARME ANCORA,,http://pt.aliexpress.com/store/product/2015-New-Hot-Selling-Fashion-Design-Chain-Anchor-Bangle-Slave-Tassel-Finger-Hand-Chain-Harness-Bracelets/605091_32325038452.html,,,,
PULSEIRA JESUS,,http://pt.aliexpress.com/item/Hot-Sale-2015-Womens-Fashion-Bangles-Vintage-Wholesale-Bracelet-Multilayer-Bracelets-JESUS-LOVE-Promotional-Bangle-CX/32373551876.html?adminSeq=202516347&shopNumber=221357,,,,
CONJUNTO PRETO DE ANEIS 3 PEÇAS,,http://pt.aliexpress.com/store/product/New-fashion-jewelry-cool-black-finger-ring-set-1set-3pcs-gift-for-women-girl-R1075/805930_1865155755.html,,,,
COLAR FLOCO DE NEVE,,"http://pt.aliexpress.com/item/2015-New-Year-Christmas-Gift-Fashion-Luxury-Shiny-rhinestone-Snowflake-Necklace-Pendants-Chain-long-necklace-jewelry/32253303091.html?spm=2114.02020208.3.92.7Uo2Vc&ws_ab_test=searchweb201556_1_79_78_77_82_80_62,searchweb201644_0,searchweb201560_3",,,,
ANEL REGULAVEL LUXO,,http://pt.aliexpress.com/store/product/New-fashion-accessories-jewelry-hollow-finger-ring-for-women-girl-nice-gift-R1499/805930_32443001304.html,,,,
PULSEIRA DIAMANTES,,http://pt.aliexpress.com/store/product/AB0142-8-characters-with-endless-palm-crystal-diamond-bracelet-complex-Gupi-Sheng-B9/313809_1815142740.html,,,,
COLAR FOLHAS,,http://pt.aliexpress.com/store/product/Women-Vintage-Charm-Silver-Plated-Hollow-Tree-Leaf-Pearl-Pendants-Chain-Necklace-Statement-Jewelry-Gift-For/605091_32254863980.html?storeId=605091,,,,
PULSEIRA CORUJINHA,,http://pt.aliexpress.com/store/product/Min-order-is-10-mix-order-61A42-Fashion-Lovers-vintage-owl-bracelets-jewelry-wholesale-free-shipping/605091_917109832.html,,,,
BRINCOS ARGOLA ARVORE,,http://pt.aliexpress.com/store/product/2015-New-Arrival-Unique-Design-Fashion-Vintage-Plated-Silver-Round-Hollow-Lucky-Wishing-Tree-Pendant-Earrings/605091_32255904018.html?storeId=605091,,,,
COLAR CORUJINHA,,"http://pt.aliexpress.com/item/x293-Free-Shipping-Korea-Lovely-Jewelry-Ancient-Bronze-Owl-Necklace-oxeye-black-gem-Ancient-the-Owl/32252419010.html?spm=2114.02010208.3.74.fl3pwI&ws_ab_test=searchweb201556_8,searchweb201602_3_10017_10021_507_10022_10020_10009_10008_10018_10019_101,searchweb201603_9&btsid=7efebf15-ebdc-4e75-90ce-f5ce4a98097e",,,,
PAR DE BRINCOS MARINHEIRO,,"http://pt.aliexpress.com/item/Good-quality-NEW-2014-Fashion-Jewelry-Rhinestone-Anchors-Stud-Earring-For-Women-statement-earrings-Christmas-Gift/2040636994.html?spm=2114.30010508.3.29.EUd3fZ&ws_ab_test=searchweb201556_2,searchweb201644_5_10001_10002_10005_10006_10003_10004_62,searchweb201560_2,searchweb1451318400_6148,searchweb1451318411_6452&btsid=408a87fa-ef60-4d6d-8a34-8cefb8dc8c51",,,,
CONJUNTO 6 ANEIS FALANGE,,http://pt.aliexpress.com/item/Shiny-Punk-style-Crystal-Gold-plated-Stacking-midi-Finger-Knuckle-ring-Charm-Leaf-Ring-Set-for/32313515751.html?adminSeq=201988851&shopNumber=334595&smToken=8eb70e628dd44d95b16e90c750a00669&smSign=HmewANTiDc%2Br1o4z0Mg%2BJA%3D%3D,,,,
PULSEIRA DREAM,,"http://pt.aliexpress.com/item/Vintage-Braided-Red-Blue-Heart-Love-Dream-Metal-Leather-Multilayer-Rope-Bracelets-Wrap-Bracelets-Wholesale-Bangles/32278080724.html?spm=2114.02010208.3.11.8ZWip2&ws_ab_test=searchweb201556_0,searchweb201602_1_10037_10017_10021_507_10033_10022_10032_10009_10020_10008_10018_10019,searchweb201603_1&btsid=cf60a38b-8ab6-4f2f-adde-2ec0a0962e50",,,,
RELOGIO FEMININO LE TAIME,,"http://pt.aliexpress.com/item/2015-New-Famous-Brand-Je-taime-Gold-Casual-Quartz-Watch-Women-Lether-Strap-Dress-Watches-Relogio/32386145124.html?spm=2114.02010208.3.3.d8pYkS&ws_ab_test=searchweb201556_8,searchweb201602_3_10017_10021_507_10033_10022_10020_10009_10008_10018_10019_101,searchweb201603_9&btsid=197d6cc6-a0b5-4fae-98a9-98cff07ee78c",,,,
BRINCOS CORES CUTE,,http://pt.aliexpress.com/store/product/Min-order-is-10-mix-order-E124-Fashion-personality-sweety-beautiful-wool-ball-earrings-jewelry-wholesale/605091_689207011.html,,,,
COLAR ARVORE,,http://pt.aliexpress.com/store/product/2016-Brand-Vintage-Turkish-Tree-Neckalce-Bohemia-Pink-Natural-Stone-Bead-Pendant-Tibetan-Necklace-Opal-Women/605091_32649607437.html,,,,
RELOGIO GATINHO,,http://pt.aliexpress.com/store/product/1PC-Women-Fashion-Watch-Cute-Cat-Printed-Watches-Crystal-Girls-Dress-Montre-Leather-Quartz-Wrist-Watch/1091026_32451175201.html,,,,
BRACELETE PAI NOSSO,,http://pt.aliexpress.com/item/Bracelet-Charm-Genuine-Leather-Bracelets-for-Women-Gifts-Mens-Bracelets-2014-100-Brand-New/32259766709.html?adminSeq=202401508&shopNumber=818607,,,,
COLAR BEST FRIENDS 3 PEÇAS,,http://pt.aliexpress.com/store/product/2015-New-Style-Broken-3-Parts-Gold-Heart-Pendant-Necklace-Best-Friend-Letters-Necklace-Fine-Jewelry/1050087_32455410922.html,,,,
ANEL LAÇO,,http://pt.aliexpress.com/store/product/2014-hot-New-Design-Fashion-Noble-Plated-18K-Real-Gold-Bow-ring-Zircon-Crystal-Rings-cRYSTAL/908304_1633828231.html,,,,
PULSEIRA LOVE DOURADA,,http://pt.aliexpress.com/store/product/Min-order-is-10-mix-order-Crystal-shop-Fashion-Korea-simple-LOVE-metal-Bracelets-jewelry-wholesale/605091_1035731617.html,,,,
Conjunto com 5 anéis Ouro ou Prata,,http://pt.aliexpress.com/store/product/Punk-Square-Gold-Silver-Plated-Anchor-Stacking-Finger-Knuckle-midi-ring-crystal-ring-set-For-Women/334595_32330272630.html,,,,
PULSEIRA FOLHA,,http://pt.aliexpress.com/store/product/Top-quality-Wholesale-New-Fashion-18K-gold-filled-leather-rope-chain-leaf-charm-bracelets-Valentine-s/805930_32268122393.html,,,,
ANEL X REGULAVEL,,"http://pt.aliexpress.com/item/Vintage-X-Cross-Ring-Fine-Jewelry-Fashion-Zircon-Anel-Bijoux-Bague-for-Wedding-Band-Rings-For/32408559996.html?spm=2114.02010208.3.38.Nflicj&ws_ab_test=searchweb201556_0,searchweb201602_1_10037_10017_10021_507_10033_10022_10032_10009_10020_10008_10018_10019,searchweb201603_1&btsid=41f77665-630c-486f-9138-3b26f638c381",,,,
COLAR FEMININO HAMSA,,http://pt.aliexpress.com/store/product/2015-Vintage-Carving-Silver-Luck-Hamsa-Hand-Pendants-Necklace-Brand-Design-Luck-Fatima-Hand-Palm-Statement/1050087_32464966864.html,,,,
BRACELETE FOLHAS,,http://pt.aliexpress.com/store/product/New-fashion-accessories-jewelry-copper-leaf-cuff-bangle-for-women-girl-nice-gift-B3333/805930_32465558846.html,,,,
COLAR ANCORA,,http://pt.aliexpress.com/store/product/New-2014-Navy-Trend-Anchor-18K-Gold-Long-Chain-Pendant-Necklace-Blue-Enamel-Necklaces-Pendants-For/334595_1965719660.html,,,,
COLAR FILTRO DOS SONHOS,,http://pt.aliexpress.com/item/Best-Deal-Fashion-Retro-Women-Bohemia-Tassels-Feather-Pendant-Necklace-Jewelry-Dream-Catcher-Pendant-Chain-Necklace/32433904561.html?detailNewVersion=1,,,,
COLAR POMO DE OURO,,"http://pt.aliexpress.com/item/vintage-harry-potter-snitch-gold-necklace-N11/2045330023.html?spm=2114.02010208.3.2.F7wFuC&ws_ab_test=searchweb201556_0,searchweb201602_2_10037_10033_507_10032_10020_10017_10021_10022_10009_10008_10018_101_10019,searchweb201603_3&btsid=5cd02f25-58a7-40e2-aadc-74e7c7633005",,,,
BRINCOS  LAÇO,,http://pt.aliexpress.com/item/2014-Elegant-Charm-Star-Temperament-Blue-Pendant-Bow-Earrings-Dangle-earrings-Fashion-Wild-Square-Crystal-Earring/32252370940.html?detailNewVersion=2,,,,
COLARES DIVERSOS,,http://es.aliexpress.com/item/New-fashion-jewelry-chain-link-crystal-moon-sun-Elephant-tree-leaf-pendant-necklace-mix-design-for/32478441748.html?spm=2114.10010308.0.181.OwITc9,,,,
RELOGIO 1314,,"http://pt.aliexpress.com/item/New-Arrival-Fashion-Lovers-Watch-Men-Women-Leather-Relojes-Quartz-Wristwatch-Casual-Sport-Couples-1314-Watches/32399921264.html?spm=2114.02010208.3.12.D0BIoG&ws_ab_test=searchweb201556_9,searchweb201602_2_10017_10005_10006_10034_10021_507_10022_10020_10018_10019,searchweb201603_9&btsid=e504ceb9-15f5-49af-9f2f-67a088ee9b16",,,,
COLAR OKAY,,"http://pt.aliexpress.com/item/2015-wholesale-A-lot-The-Fault-in-Our-Stars-2pcs-set-Okay-Necklace-Pendant-Cloud-Friendship/32257168140.html?spm=2114.30010508.3.29.nkTLWd&ws_ab_test=searchweb201556_9,searchweb201602_5_10036_10035_301_10034_507_10032_10020_10001_10002_10017_10010_10005_10006_10011_10003_10021_10004_10022_10009_401_10008_10018_10019,searchweb201603_6&btsid=03b4b670-95d9-4fae-a05e-e35a26f8309a",,,,
BRINCOS FASHION DOURADOS,,http://pt.aliexpress.com/store/product/Hot-Selling-Simple-Design-Fashion-Long-Drop-Earring-Gold-And-Silver-Tassel-Dangle-Earrings-Jewelry-For/605091_32323949986.html,,,,
COLAR ECG,,http://pt.aliexpress.com/store/product/Simple-Wave-Heart-Necklace-Chic-ECG-Heartbeat-Gold-Silver-Pendant-Charm-Lightning-Necklace-for-Women-Vintage/1050087_32454814806.html,,,,
COLAR BF QUEBRA CABEÇA 2 PEÇAS,,http://pt.aliexpress.com/store/product/2015-Fashion-jewelry-long-necklace-best-friend-heart-to-heart-silver-pendant-necklaces-for-women-vogue/105866_32308160284.html,,,,
COLAR RELIQUIA HARRY POTTER,,http://pt.aliexpress.com/store/product/New-2014-Fashion-Harry-Potty-Pendant-Necklace-Vintage-Antique-Gold-Plated-Long-Chain-Triangle-Pendants-Necklace/334595_1963581906.html,,,,
BRACELETE MASCULINO COURO,,http://pt.aliexpress.com/store/product/2015-Brand-Design-Women-Vintage-Wild-Personalized-Wild-Leather-Bracelet-Western-Temperament-Unisex-Bracelets-Bangles-Jewelry/605091_32281187793.html,,,,
RELOGIO FLECHA,,"http://pt.aliexpress.com/item/Colorful-Arrow-New-Fashion-Women-Watches-Faux-Leather-Relojes-Mujer-Ladies-Quartz-Analog-Clock-Wrist-Hour/32580784548.html?spm=2114.02010208.3.249.xSSwTO&ws_ab_test=searchweb201556_7,searchweb201602_2_10037_10017_507_10032_401_10040,searchweb201603_9&btsid=ea8c1e01-98bd-4320-ab64-229f33bc19ca",,,,
RELOGIO PULSEIRA,,http://pt.aliexpress.com/store/product/Retro-Rudder-Anchor-Charm-Leather-Band-Quartz-Wrist-Watch/731431_32230257027.html,,,,
PULSEIRA JOGOS VORAZES,,"http://pt.aliexpress.com/item/the-hunger-games-bracelet-bird-arrow-infinity-mockingbird-vintage-retro-brown-leather-rope-for-men-and/1957576491.html?spm=2114.02020208.3.21.0HIeQQ&ws_ab_test=searchweb201556_1_79_78_77_80_61,searchweb201644_5,searchweb201560_7",,,,
BRACELETE FEMININO CORAÇÃO,,http://pt.aliexpress.com/store/product/Lovely-hollow-out-heart-the-coin-pearl-multielement-weave-multilayer-bracelet-women-s-bracelets-bangles/1050087_1814897760.html,,,,
COLAR RETRO CORUJA,,http://pt.aliexpress.com/store/product/2014-Hot-sale-Europen-High-quality-Fashion-Vintage-Lovely-Hollow-Black-Gem-Eyes-Owl-Pendant-Necklace/605091_2041093394.html,,,,
BRACELETE CORUJINHA,,http://pt.aliexpress.com/store/product/Min-order-10usd-mix-items-Christmas-gift-Fashion-Multilayer-Bracelet-Love-Dream-owl-Bracelet/605091_1512914475.html,,,,
PULSEIRA PUNK,,http://pt.aliexpress.com/item/Free-Shipping-Arrival-Of-2015-New-Bracelet-Fashion-And-Personality-Style-Bracelet-Men-Punk-Charm-Bracelet/32247259400.html,,,,
COLAR ASAS,,"http://pt.aliexpress.com/item/Antique-Vintage-Angel-Wing-Mens-Leather-Necklace-Charms-Pendants/32220304588.html?spm=2114.02020208.3.79.8Hc4Um&ws_ab_test=searchweb201556_1,searchweb201644_5,searchweb201560_9",,,,
BRINCOS PAVAO,,http://pt.aliexpress.com/store/product/Min-order-is-10-mix-order-Fashion-retro-beautiful-blue-peacock-earrings-jewelry-wholesale-free-shipping/605091_688404129.html,,,,
CONJUNTO 5 ANEIS DOURADOS,,http://pt.aliexpress.com/item/2015-Simple-Gold-Crystal-Knuckle-Finger-Midi-Ring-Wave-Ring-Set-Bague-For-Women-mulheres-anel/32332469658.html?adminSeq=201988851&shopNumber=334595,,,,
BRACELETE DE COURO MASCULINO,,"http://pt.aliexpress.com/item/BA196-Wholesale-20cm-Vintage-Hollow-Round-Leather-Bracelet-Wristband-Jewelry-Bijouterie-Unisex-Girls-Woman/32359728219.html?spm=2114.02010208.3.230.Hf7JXq&ws_ab_test=searchweb201556_0,searchweb201602_2_10037_10017_10021_507_10033_10022_10032_10009_10020_10008_10018_10019,searchweb201603_2&btsid=9da9a182-da98-4e1d-a474-edf2633df35c",,,,
BRINCOS FLOCOS DE NEVE,,http://pt.aliexpress.com/store/product/Christmas-gifts-Fashion-Personalized-luxury-Full-Shiny-transparent-rhinestone-snowflakes-Drop-earrings-jewelry-women-2014-M11/908304_2042384575.html,,,,
BRACELETE FEMININO CORAÇOES,,http://pt.aliexpress.com/store/product/TS1295-Jewelry-Wholesale-double-heart-letters-Love-bracelets-antique-Love-Heart-Alloy-Bracelet-Charm-Bangles/1050087_32247738654.html,,,,
PULSEIRA COURO LEME,,"http://pt.aliexpress.com/item/High-Quality-Vintage-Stainless-Steel-Rudder-Charm-Genuine-Cow-Leather-Bracelet-Jewelry-for-Men/2042336346.html?spm=2114.02020208.3.86.FcbmoU&ws_ab_test=searchweb201556_1,searchweb201644_5,searchweb201560_7",,,,
